date,open,high,low,close,m1_bars
2018-08-17,120.414,120.624,120.357,120.45,419
2018-08-19,120.411,120.442,120.411,120.426,12
2018-08-20,120.442,120.814,120.409,120.766,388
2018-08-21,120.782,120.797,120.513,120.731,413
2018-08-22,120.738,120.854,120.62,120.743,460
2018-08-23,120.75,120.805,120.614,120.645,411
2018-08-24,120.629,120.72,120.455,120.72,339
2018-08-26,120.665,120.665,120.633,120.633,11
2018-08-27,120.64,120.741,120.411,120.442,290
2018-08-28,120.426,120.487,120.157,120.219,395
2018-08-29,120.226,120.327,120.09,120.184,367
2018-08-30,120.191,120.432,120.152,120.416,419
2018-08-31,120.408,120.603,120.368,120.43,397
2018-09-02,120.395,120.442,120.395,120.442,7
2018-09-03,120.426,120.503,120.363,120.424,96
2018-09-04,120.44,120.486,120.11,120.187,424
2018-09-05,120.179,120.28,120.045,120.185,428
2018-09-06,120.192,120.449,120.122,120.434,416
2018-09-07,120.427,120.434,119.791,119.853,420
2018-09-09,119.817,119.817,119.802,119.817,6
2018-09-10,119.81,119.926,119.785,119.878,308
2018-09-11,119.882,119.894,119.485,119.532,339
2018-09-12,119.525,119.687,119.516,119.608,312
2018-09-13,119.615,119.779,119.466,119.528,369
2018-09-14,119.535,119.606,119.307,119.323,368
2018-09-16,119.35,119.35,119.318,119.318,9
2018-09-17,119.311,119.473,119.177,119.457,346
2018-09-18,119.464,119.504,118.908,118.908,477
2018-09-19,118.915,119.016,118.687,118.843,417
2018-09-20,118.85,118.906,118.623,118.841,366
2018-09-21,118.848,118.904,118.7,118.871,365
2018-09-23,118.867,118.882,118.867,118.867,6
2018-09-24,118.863,118.867,118.646,118.693,335
2018-09-25,118.7,118.724,118.519,118.612,358
2018-09-26,118.62,119.017,118.612,118.986,341
2018-09-27,118.979,119.142,118.812,118.968,423
2018-09-28,118.972,119.155,118.904,118.904,413
2018-09-30,118.853,118.869,118.837,118.869,8
2018-10-01,118.857,118.914,118.68,118.853,364
2018-10-02,118.781,119.069,118.773,118.943,480
2018-10-03,118.939,119.037,118.034,118.065,658
2018-10-04,118.072,118.189,117.767,118.047,770
2018-10-05,118.043,118.109,117.67,117.78,532
2018-10-07,117.76,117.76,117.682,117.697,13
2018-10-08,117.69,117.947,117.565,117.789,231
2018-10-09,117.782,117.991,117.616,117.912,608
2018-10-10,117.905,118.411,117.692,118.364,635
2018-10-11,118.36,118.597,118.097,118.347,960
2018-10-12,118.343,118.564,118.143,118.282,677
2018-10-14,118.294,118.341,118.294,118.341,5
2018-10-15,118.334,118.465,118.276,118.354,595
2018-10-16,118.362,118.37,118.182,118.243,457
2018-10-17,118.247,118.414,117.897,117.959,574
2018-10-18,117.967,118.396,117.896,118.255,622
2018-10-19,118.248,118.302,118.019,118.097,621
2018-10-21,118.108,118.171,118.077,118.139,14
2018-10-22,118.147,118.232,117.998,118.106,615
2018-10-23,118.102,118.762,118.091,118.37,689
2018-10-24,118.366,118.978,118.339,118.9,758
2018-10-25,118.893,118.947,118.539,118.82,712
2018-10-26,118.827,119.288,118.804,119.131,798
2018-10-28,119.127,119.158,119.08,119.08,16
2018-10-29,119.087,119.267,118.813,119.078,694
2018-10-30,119.074,119.078,118.716,118.763,714
2018-10-31,118.756,118.763,118.465,118.574,543
2018-11-01,118.581,118.791,118.447,118.712,572
2018-11-02,118.719,118.728,118.085,118.163,665
